countryCode,countryName,date,holidayName,weekDay
840,United states of America,01-01-2025,New Year’s Day,Wednesday
840,United states of America,20-01-2025,Birthday of Martin Luther King Jr,Monday
840,United states of America,22-01-2025,Inauguration Day,Monday
840,United states of America,17-02-2025,Washington’s Birthday,Monday
840,United states of America,26-05-2025,Memorial Day,Monday
840,United states of America,19-06-2025,Juneteenth National Independence Day,Thursday
840,United states of America,04-07-2025,Independence Day,Friday
840,United states of America,01-09-2025,Labor Day,Monday
840,United states of America,13-10-2025,Columbus Day,Monday
840,United states of America,11-11-2025,Veterans Day,Tuesday
840,United states of America,27-11-2025,Thanksgiving Day,Thursday
840,United states of America,25-12-2025,Christmas Day,Thursday